author/url,author/userName,createdAt,text,url
https://x.com/cupidoslvr,cupidoslvr,Thu Mar 30 15:27:04 +0000 2017,the cutest Asian baby girl is going around saying hi to everyone omg I'm crying,https://x.com/cupidoslvr/status/847470235594575872
https://x.com/_vickyphux,_vickyphux,Thu Mar 30 07:32:57 +0000 2017,"@tiffanyxhua and everyone's an ABG, Asian baby girl aren't ya.",https://x.com/_vickyphux/status/847350920060968960
https://x.com/LisaKesby,LisaKesby,Thu Mar 30 04:32:23 +0000 2017,OOAK hand sculpted Asian Baby Girl doll art by ArtbyDeniseEGelet https://t.co/ouyv8jlpW1 via @Etsy,https://x.com/LisaKesby/status/847305479264976896
https://x.com/rebornsnursery,rebornsnursery,Wed Mar 29 20:05:02 +0000 2017,Sweet Asian Baby Girl by Sweet Baby Dolls https://t.co/YFsB6NEAdM  #realdolls #handmadebaby https://t.co/sntNVlj4Ww,https://x.com/rebornsnursery/status/847177802466111488
https://x.com/partysuppliez,partysuppliez,Sat Mar 25 06:58:13 +0000 2017,where's my asian baby girl,https://x.com/partysuppliez/status/845530241078472704
https://x.com/neeviehndrxx,neeviehndrxx,Sat Mar 25 04:31:40 +0000 2017,Yeah I look like Asian baby girl w the boba but I dragged bitches by the hair since I was 10 😇,https://x.com/neeviehndrxx/status/845493359644938240
https://x.com/FashnblyLatest,FashnblyLatest,Sat Mar 25 03:15:09 +0000 2017,🍧That boba milk tea Asian baby girl life,https://x.com/FashnblyLatest/status/845474105302310912
https://x.com/andychuoibui,andychuoibui,Thu Mar 23 17:06:26 +0000 2017,Anybody here can tell me what abg stands for? And it's not Asian baby girl 😊,https://x.com/andychuoibui/status/844958527697301504
https://x.com/starryxm00ns,starryxm00ns,Tue Mar 21 05:45:44 +0000 2017,"@VirtualSpanner asian baby girl, milk tea is an asian drink, kbbq is korean barbecue.",https://x.com/starryxm00ns/status/844062451238760448
https://x.com/Nicolinaboykin,Nicolinaboykin,Tue Mar 21 03:14:33 +0000 2017,"@vessicajuong do half and half , one day Asian baby girl, next day scene",https://x.com/Nicolinaboykin/status/844024400718512131
https://x.com/_TeeQue_,_TeeQue_,Mon Mar 20 19:49:53 +0000 2017,@Cooki3Wongster i found one that said its stands for Asian Baby Girl lol,https://x.com/_TeeQue_/status/843912498193424384
https://x.com/s1hmb,s1hmb,Mon Mar 20 01:33:06 +0000 2017,"@eshaxq ""aznbbygirl"" or asian baby girl LOL",https://x.com/s1hmb/status/843636484628340736
https://x.com/HEYYYerrika,HEYYYerrika,Sun Mar 19 17:32:28 +0000 2017,ABG in medical speak means arterial blood gas but everytime I hear it I think Asian baby girl 😅,https://x.com/HEYYYerrika/status/843515527788077056
https://x.com/DianaRodzi,DianaRodzi,Sun Mar 19 12:46:02 +0000 2017,@alvinlau_kb Asian baby girl lol,https://x.com/DianaRodzi/status/843443447319031808
https://x.com/alexalmxnza,alexalmxnza,Sun Mar 19 07:10:58 +0000 2017,@osnapaly it means asian baby girl,https://x.com/alexalmxnza/status/843359125006299136
https://x.com/cellaaaaaa_,cellaaaaaa_,Sat Mar 18 19:57:05 +0000 2017,had a dream that i was gonna adopt this beautiful little asian baby girl and she was so freaking cute wtf i'm SO SAD ITS NOT REAL FML 😭😭😭,https://x.com/cellaaaaaa_/status/843189534422519809
https://x.com/been2heaven,been2heaven,Fri Mar 17 03:53:27 +0000 2017,"i'll be your ABG, your asian baby girl",https://x.com/been2heaven/status/842584638899986437
https://x.com/AyeEllay,AyeEllay,Thu Mar 16 23:12:17 +0000 2017,I seriously thought abg stood for average boba girl not Asian baby girl,https://x.com/AyeEllay/status/842513884007227392
https://x.com/gabydeguz,gabydeguz,Thu Mar 16 19:09:41 +0000 2017,We have the cutest little chubby Asian baby girl in our class ❤️😍😭 cannot get enough of her!!,https://x.com/gabydeguz/status/842452831294578688
https://x.com/Docarwell,Docarwell,Wed Mar 15 09:26:28 +0000 2017,@chrustinelim Asian Baby Girl As Fuck,https://x.com/Docarwell/status/841943669439631361
https://x.com/punjabtrue,punjabtrue,Fri Mar 31 22:15:29 +0000 2017,"ABG Accessories Big Girls Sprinkles Sweetie Pom Beanie with Magic Glove Set, White, One Size https://t.co/QsK27HShje https://t.co/WD6TtMXzF3",https://x.com/punjabtrue/status/847935406985404416
https://x.com/kakmah1,kakmah1,Fri Mar 31 22:10:37 +0000 2017,"Melawat floating house,Chau Duc https://t.co/aNPK7iqKVY",https://x.com/kakmah1/status/847934183364108288
https://x.com/ABG_LAXCares,ABG_LAXCares,Fri Mar 31 22:10:20 +0000 2017,Until we meet again @Jeaniezapp ! You are a great DM &amp; you will be missed!! @abgCare @Avis_LAX @ABG_FleetLA @GoAvisBudget @ABG_HR_Mike @ https://t.co/C8iHc6Xwgi,https://x.com/ABG_LAXCares/status/847934110362255360
https://x.com/RecoveringABG,RecoveringABG,Fri Mar 31 22:08:52 +0000 2017,I aim to be this type of English major https://t.co/PhK49YvOlM,https://x.com/RecoveringABG/status/847933741146161152
https://x.com/gibbsbklyn,gibbsbklyn,Fri Mar 31 21:41:44 +0000 2017,@mistergiuntoli Love ❤️ you all! We will really miss you. 😢😥,https://x.com/gibbsbklyn/status/847926913108779010
https://x.com/tigajari_,tigajari_,Fri Mar 31 21:24:13 +0000 2017,"“We will never know the real answer, before you try.”",https://x.com/tigajari_/status/847922503099891712
https://x.com/WalochikTLG,WalochikTLG,Fri Mar 31 21:22:36 +0000 2017,"Congratulations,colleagues @Nabeel_Hani @TOM_PRICEDANIEL @PaulCook_ABG @AlderbrookeGrp for  @WhartonPAC Prize!  @tgcforleaders @TalengoINT https://t.co/0wocQh8BFZ",https://x.com/WalochikTLG/status/847922100040028161
https://x.com/JSantos_SD,JSantos_SD,Fri Mar 31 21:15:06 +0000 2017,Grabbed an ABG (Asian Boba Girl) from @labobatory. Vietnamese iced coffee topped with purple cream and honey boba 😋🍯 #LA #LAbobatory https://t.co/bfW1EAJS6h,https://x.com/JSantos_SD/status/847920210325643264
https://x.com/ABGWeichert,ABGWeichert,Fri Mar 31 21:12:09 +0000 2017,7 Simple Ways to Give Your Home Serious Curb Appeal - https://t.co/w5FnWFN9nG https://t.co/gN1GV8kjih,https://x.com/ABGWeichert/status/847919470404390918
https://x.com/SpectreMIRG,SpectreMIRG,Fri Mar 31 21:09:59 +0000 2017,@Alyan_nahhh What is this ABG you speak of?,https://x.com/SpectreMIRG/status/847918922590498816
https://x.com/ABGEssentials,ABGEssentials,Fri Mar 31 21:02:38 +0000 2017,Industry 4.0 and Industrial IoT in Manufacturing: A Sneak Peek https://t.co/QuEmjmz2Mo,https://x.com/ABGEssentials/status/847917071971360770
https://x.com/audthepeapod,audthepeapod,Fri Mar 31 20:56:56 +0000 2017,You know you're in SJ when you find ABG lashes on the sidewalk in front of boba bar,https://x.com/audthepeapod/status/847915638064463872
https://x.com/_Fujinaka,_Fujinaka,Fri Mar 31 20:54:23 +0000 2017,"*the other day*

Alex: she reminds me of you, well mannered but dresses like an abg",https://x.com/_Fujinaka/status/847914997543976960
https://x.com/TheRealDougLane,TheRealDougLane,Fri Mar 31 20:50:39 +0000 2017,"Just Announced: Provo, UT - Apr 7 at ABG's https://t.co/ezAzwBctOz",https://x.com/TheRealDougLane/status/847914058837880832
