author/twitterUrl,author/userName,createdAt,text,url
https://twitter.com/asianbabygirl17,asianbabygirl17,Tue Nov 21 12:33:02 +0000 2023,"@gcftokkii yes i like reyster too, hes very shy offstage but sexy guy on stage 😍😍😍 https://t.co/aoVqoYvfny",https://x.com/asianbabygirl17/status/1726941790589362686
https://twitter.com/asianbabygirl17,asianbabygirl17,Tue Nov 21 09:12:50 +0000 2023,"@my5un1ight he is a shy guy off stage, but a hot guy on stage",https://x.com/asianbabygirl17/status/1726891407775089125
https://twitter.com/asianbabygirl17,asianbabygirl17,Tue Nov 21 09:10:05 +0000 2023,@adizumar @BLACKPINK @BBMAs shut up ugly nigga,https://x.com/asianbabygirl17/status/1726890715652010400
https://twitter.com/YagamiVal,YagamiVal,Mon Nov 20 19:56:13 +0000 2023,@nerovlr_ asian baby girl,https://x.com/YagamiVal/status/1726690933494997486
https://twitter.com/asianbabygirl17,asianbabygirl17,Mon Nov 20 12:51:21 +0000 2023,@bonggonzales_ love it bongnat ❤️,https://x.com/asianbabygirl17/status/1726584011009708102
https://twitter.com/karljosh16,karljosh16,Mon Nov 20 11:37:37 +0000 2023,@jae_sensei Asian baby girl?,https://x.com/karljosh16/status/1726565456507740403
https://twitter.com/asianbabygirl17,asianbabygirl17,Mon Nov 20 06:47:34 +0000 2023,@atamanoyare @HumansNoContext thats me hahaha sleeping before the movie starts,https://x.com/asianbabygirl17/status/1726492463454621876
https://twitter.com/asianbabygirl17,asianbabygirl17,Mon Nov 20 01:54:57 +0000 2023,@YuribiaHernand1 @villainpinks @chartdata @BLACKPINK stop crying while typing thus sh8,https://x.com/asianbabygirl17/status/1726418822289314093
https://twitter.com/kkfishiefillet,kkfishiefillet,Sun Nov 19 17:36:02 +0000 2023,Do I fulfill the asian baby girl prophecy in which I must join my filam fam and sell my soul to League o legend,https://x.com/kkfishiefillet/status/1726293266339971500
https://twitter.com/aesapphics,aesapphics,Sun Nov 19 16:59:44 +0000 2023,"My type were never like this before, it is always asian baby girl or something like that
But OH MY GOD ANAÏS WHY SO PRETTY SO CUTE MY LITTLE BABY JUST FALLING IN LOVE FOR THE FIRST TIME PLEASE LET HER BE HAPPY OR I'LL DO SOMETHING UNIMAGINABLE #wtfock https://t.co/gFXe2FKN7m",https://x.com/aesapphics/status/1726284132794458615
https://twitter.com/asianbabygirl17,asianbabygirl17,Sun Nov 19 01:50:57 +0000 2023,@DUMPSTE83682088 @dailyenhapink @imhrve hes so cute,https://x.com/asianbabygirl17/status/1726055430894600691
https://twitter.com/asianbabygirl17,asianbabygirl17,Sun Nov 19 01:46:58 +0000 2023,"@my5un1ight yes he is active in twitter promoting hori7on before their official debut. thad also the one suggested the fandom name ""anchors""",https://x.com/asianbabygirl17/status/1726054425469632626
https://twitter.com/asianbabygirl17,asianbabygirl17,Sat Nov 18 21:28:53 +0000 2023,@dailyenhapink @imhrve okay whos this guyi like him now,https://x.com/asianbabygirl17/status/1725989476068151799
https://twitter.com/asianbabygirl17,asianbabygirl17,Sat Nov 18 20:43:44 +0000 2023,"@my5un1ight he is my bias before in dream maker and he is a good leader. i really like thad, he is also the president of anchors before he debuted in new id",https://x.com/asianbabygirl17/status/1725978116601061810
https://twitter.com/asianbabygirl17,asianbabygirl17,Sat Nov 18 17:34:38 +0000 2023,@subzidite2 indos again hosting mpl ph 12.5 😂😂😂,https://x.com/asianbabygirl17/status/1725930528518582778
https://twitter.com/__Tsamohshnap,__Tsamohshnap,Fri Nov 17 13:55:59 +0000 2023,@lhyzerr Dapat pang asian baby girl no? Hahaha,https://x.com/__Tsamohshnap/status/1725513113670402354
https://twitter.com/almondpinkk,almondpinkk,Thu Nov 16 10:39:10 +0000 2023,Asian baby girl Giselle,https://x.com/almondpinkk/status/1725101194128060695
https://twitter.com/reglrbird,reglrbird,Sat Dec 30 22:53:22 +0000 2023,"BC 4 cost Equipment, +0 | +0
Earthshaker Mace
Siege. When my bearer destroys a Landmark, grant me Impact.",https://x.com/reglrbird/status/1741231028063392186
https://twitter.com/roo_abg23,roo_abg23,Sat Dec 30 22:50:42 +0000 2023,@maar_airbag Obvio ❤️,https://x.com/roo_abg23/status/1741230358924767273
https://twitter.com/reglrbird,reglrbird,Sat Dec 30 22:46:40 +0000 2023,"BC 6 cost, Runaway Mechabrawler
Seige, Impact. Play skill: Discard 1 to destroy a Landmark. When I destroy a Landmark, grant me Impact.",https://x.com/reglrbird/status/1741229344058712081
https://twitter.com/Annabeezy__,Annabeezy__,Sat Dec 30 22:42:29 +0000 2023,"People putting TSwift on their “2024 Outs List”, did he pick you yet ⁉️",https://x.com/Annabeezy__/status/1741228288230474109
https://twitter.com/AyofunkyABG,AyofunkyABG,Sat Dec 30 22:38:34 +0000 2023,@Salthottie This is sooo litt congratulations 🥂,https://x.com/AyofunkyABG/status/1741227306419355672
https://twitter.com/GrowWithABG,GrowWithABG,Sat Dec 30 22:33:06 +0000 2023,"Some of the greatest conversations we have is with ourselves. Don’t forget to take time to reflect, review and revisit you! #2024 #goals #growth #NewYearNewMe #PersonalGrowth https://t.co/PYz2emAdde",https://x.com/GrowWithABG/status/1741225927265091963
https://twitter.com/OsimaLewis92383,OsimaLewis92383,Sat Dec 30 22:31:34 +0000 2023,@MindOfHeadking @guzu_p Abg wait for me,https://x.com/OsimaLewis92383/status/1741225544472035653
https://twitter.com/asianbabygirl17,asianbabygirl17,Thu Nov 16 08:06:38 +0000 2023,@katesscart same,https://x.com/asianbabygirl17/status/1725062808231190668
https://twitter.com/asianbabygirl17,asianbabygirl17,Thu Nov 16 08:06:21 +0000 2023,@MilesTouya @mayaofficialph i cant log in too,https://x.com/asianbabygirl17/status/1725062737175478447
https://twitter.com/HOSTAGEKILLER,HOSTAGEKILLER,Wed Nov 15 20:10:58 +0000 2023,"asian baby girl drain my bank account. please abg schmookums, my schmoopy. drain it. clear out my inheritance, now.",https://x.com/HOSTAGEKILLER/status/1724882704619958632
https://twitter.com/asianbabygirl17,asianbabygirl17,Wed Nov 15 18:33:55 +0000 2023,@noeul811 thankyou ❤️ reyster good in dancing 😍,https://x.com/asianbabygirl17/status/1724858281624264825
https://twitter.com/goatofthroat222,goatofthroat222,Wed Nov 15 11:12:23 +0000 2023,Can I be your sexy girlfriend? https://t.co/KpqCI5sVZJ,https://x.com/goatofthroat222/status/1724747168823533806
https://twitter.com/wholes0me1,wholes0me1,Tue Nov 14 08:56:03 +0000 2023,@leilaalberich Asian baby girl (?) or am I using it incorrectly?,https://x.com/wholes0me1/status/1724350470712619246
https://twitter.com/halfheldsky,halfheldsky,Tue Nov 14 03:36:29 +0000 2023,"@girlbossdoll Asian baby girl, it like used to mean southeast asians in the mafia but it got colonized by valorant asians",https://x.com/halfheldsky/status/1724270049572114928
https://twitter.com/vivslatina,vivslatina,Mon Nov 13 17:15:51 +0000 2023,@billy21380305 Thanks daddy 😘,https://x.com/vivslatina/status/1724113860414837052
https://twitter.com/vivslatina,vivslatina,Mon Nov 13 17:15:37 +0000 2023,@AdamPaulGaskel1 Thanks! 🥺,https://x.com/vivslatina/status/1724113803154264105
https://twitter.com/asianbabygirl17,asianbabygirl17,Mon Nov 13 09:49:32 +0000 2023,@koobabei is this supposed to be a drag? jennie singingijg is better yhan than fraudcook and jimid,https://x.com/asianbabygirl17/status/1724001541835923616
https://twitter.com/asianbabygirl17,asianbabygirl17,Mon Nov 13 09:47:51 +0000 2023,@Je0nd0ll lols its a challenge from their reality tv show unlike self proclaimed fraudcook ewww,https://x.com/asianbabygirl17/status/1724001115610751141
https://twitter.com/asianbabygirl17,asianbabygirl17,Mon Nov 13 05:29:36 +0000 2023,@DDDD2BILLION i like the two bp and baemon,https://x.com/asianbabygirl17/status/1723936126371533074
https://twitter.com/EuphoricGains,EuphoricGains,Mon Nov 13 04:20:03 +0000 2023,@Arnold_Crypto @blknoiz06 Gimme sum mow Asian baby girl,https://x.com/EuphoricGains/status/1723918623104786891
https://twitter.com/PrincessBlackL4,PrincessBlackL4,Sun Nov 12 16:13:35 +0000 2023,"For some reason following💭came to me:

That BLACK woman on a certain (‘devoted to women of color’) site I once frequented..She was wed to a WHITE man..She✍🏾about ONLY wanting to adopt/🤰🏾❌..⏩She adopted an ASIAN baby GIRL (fair skin &amp; straight black hair) &amp;⏩Ma got locs..

🤔",https://x.com/PrincessBlackL4/status/1723735802713198856
https://twitter.com/asianbabygirl17,asianbabygirl17,Sun Nov 12 15:27:10 +0000 2023,@imhrve baemon bp little sister is coming. bp their mentors will be so happy,https://x.com/asianbabygirl17/status/1723724122356908491
https://twitter.com/asianbabygirl17,asianbabygirl17,Sun Nov 12 15:26:34 +0000 2023,@niniweaslay @imhrve baemon bp little sister is coming,https://x.com/asianbabygirl17/status/1723723969940124085
https://twitter.com/asianbabygirl17,asianbabygirl17,Sun Nov 12 14:15:52 +0000 2023,"@BritneyTeamPH @Beyonce @britneyspears @Pink @beyonceaccess @BeyLegion @britneyxytube @britney_is_free Ariana, Taylor and Miley",https://x.com/asianbabygirl17/status/1723706177442509307
https://twitter.com/asianbabygirl17,asianbabygirl17,Sun Nov 12 07:39:43 +0000 2023,@bponrepeat_1 @AndyPiluk daddy hes mine,https://x.com/asianbabygirl17/status/1723606484012110074
https://twitter.com/asianbabygirl17,asianbabygirl17,Sun Nov 12 07:35:45 +0000 2023,@bponrepeat_1 baemon is the closest but i dont think there is,https://x.com/asianbabygirl17/status/1723605485851656207
https://twitter.com/asianbabygirl17,asianbabygirl17,Sun Nov 12 07:12:22 +0000 2023,@chockietee @icespicee_ omg my queen ice spice,https://x.com/asianbabygirl17/status/1723599601771679848
https://twitter.com/ABGThoth,ABGThoth,Sat Dec 30 22:14:00 +0000 2023,@ABG_Tyguy KRIN! WICK! WE GOT MORE SACRIFICES FOR THE CONTENT TEAM!!,https://x.com/ABGThoth/status/1741221121456849154
https://twitter.com/ABGThoth,ABGThoth,Sat Dec 30 22:11:53 +0000 2023,@dan_estreicher Welp... Time to actually put more elbow grease into content now!,https://x.com/ABGThoth/status/1741220588645913015
https://twitter.com/vivslatina,vivslatina,Sat Nov 11 17:06:22 +0000 2023,@justjack303 Hello 👀,https://x.com/vivslatina/status/1723386697466134591
https://twitter.com/vivslatina,vivslatina,Sat Nov 11 17:05:52 +0000 2023,@NycNeophyte Hello 🤗,https://x.com/vivslatina/status/1723386574526878142
